,has_online_delivery,currency,name,cuisines,location.address,location.city,user_rating.rating_text
1,1,Rs.,Hauz Khas Social,"Continental, American, Asian, North Indian","9-A & 12, Hauz Khas Village, New Delhi",New Delhi,Very Good
2,0,Rs.,Qubitos - The Terrace Cafe,"Thai, European, Mexican, North Indian, Chinese, Cafe","C-7, Vishal Enclave, Opposite Metro Pillar 417, Rajouri Garden, New Delhi",New Delhi,Excellent
3,1,Rs.,The Hudson Cafe,"Cafe, Italian, Continental, Chinese","2524, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi",New Delhi,Very Good
4,0,Rs.,Summer House Cafe,"Italian, Continental","1st Floor, DDA Shopping Complex, Aurobindo Place, Hauz Khas, New Delhi",New Delhi,Very Good
5,0,Rs.,38 Barracks,"North Indian, Italian, Asian, American","M-38, Outer Circle, Connaught Place, New Delhi",New Delhi,Very Good
6,1,Rs.,Spezia Bistro,"Cafe, Continental, Chinese, Italian","2525, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi",New Delhi,Excellent
7,0,Rs.,Manhattan Brewery & Bar Exchange,"Finger Food, American, Continental, North Indian, Italian","1st Floor, Global Foyer Mall, Sector 43, Golf Course Road, Gurgaon",Gurgaon,Excellent
8,0,Rs.,The Wine Company,"Italian, European","Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,Poor
9,0,Rs.,Farzi Cafe,Modern Indian,"38/39, Level 1, Block E , Inner Circle, Connaught Place, New Delhi",New Delhi,Very Good
10,1,Rs.,Indian Grill Room,"North Indian, Mughlai","315, 3rd Floor, Suncity Business Tower, Golf Course Road, Gurgaon",Gurgaon,Excellent
11,0,Rs.,Cafeteria & Co.,"Continental, Mexican","G 14, Hudson Lane, Vijay Nagar, New Delhi",New Delhi,Excellent
12,0,Rs.,Farzi Cafe,Modern Indian,"7-8, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,Very Good
13,0,Rs.,Molecule Air Bar,"Continental, North Indian, Italian, Chinese","4th Floor, SCO 53, Main Market, Sector 29, Gurgaon",Gurgaon,Very Good
14,1,Rs.,HotMess,"North Indian, Mediterranean, Asian, Fast Food","M-11, Middle Circle, Connaught Place, New Delhi",New Delhi,Very Good
15,0,Rs.,My Bar Headquarters,"North Indian, Mughlai, Chinese","N-49, 2nd Floor, Connaught Place, New Delhi",New Delhi,Good
16,0,Rs.,FLYP@MTV,"North Indian, Mexican, Italian, Continental","N/57 & N/60, 1st Floor, Outer Circle, Connaught Place, New Delhi",New Delhi,Good
17,0,Rs.,Tamasha,"Finger Food, North Indian, Continental, Italian","28, Kasturba Gandhi Marg, Connaught Place, New Delhi",New Delhi,Good
18,0,Rs.,The Barbeque Company,"North Indian, Chinese, Continental","HL 1-2, L Block, Jail Road, New Delhi",New Delhi,Very Good
19,1,Rs.,Saravana Bhavan,South Indian,"P-13, Connaught Circus, Connaught Place, New Delhi",New Delhi,Very Good
20,0,Rs.,Odeon Social,"Continental, American, Asian, North Indian","1st Floor, 23, Odeon Building, Radial 5, D Block, Connaught Place, New Delhi",New Delhi,Very Good
21,0,Rs.,Spice Kraft,"Continental, Middle Eastern, Asian","54/1/2A, Hazra Road, Ballygunge Phari, Near Hazra Law College, Ballygunge, Kolkata",Kolkata,Excellent
22,1,Rs.,Hoppipola,"Italian, Mexican, American, Mediterranean","4th Floor, Acropolis Mall, 1858/1, Rajdanga Main Road, Kasba, Kolkata",Kolkata,Very Good
23,0,Rs.,Barbeque Nation,"North Indian, Chinese","24, 1st Floor, Park Center Building, Park Street Area, Kolkata",Kolkata,Excellent
24,1,Rs.,Peter Cat,"Continental, North Indian","18A, Park Street, Park Street Area, Kolkata",Kolkata,Very Good
25,0,Rs.,Barbeque Nation,"North Indian, Chinese","K1, RDB Boulevard, Block EP & GP, Sector 5, Salt Lake",Kolkata,Excellent
26,0,Rs.,What's Up,"Cafe, Chinese, Continental","122A, Southern Avenue, Kolkata",Kolkata,Very Good
27,1,Rs.,6 Ballygunge Place,Bengali,"6, Ballygunge Place, Ballygunge, Kolkata",Kolkata,Very Good
28,1,Rs.,TGI Friday's,"Tex-Mex, American","Forum Mall, 10/3, Elgin Road, Elgin, Kolkata",Kolkata,Very Good
29,0,Rs.,The Irish House,"European, American","5th Floor, Quest Mall, 33, Syed Ali Amir Avenue, Ballygunge, Kolkata",Kolkata,Very Good
30,1,Rs.,Asia Kitchen by Mainland China,"Asian, Chinese","4th Floor, Acropolis Mall, 1858/1, Rajdanga Main Road, Kasba, Kolkata",Kolkata,Excellent
31,1,Rs.,India Restaurant,"Biryani, North Indian, Chinese, Mughlai","Ground Floor, 1st Floor, 2nd Floor, 34, Karl Marx Sarani, Kidderpore, Kolkata",Kolkata,Excellent
32,0,Rs.,Nawwarah,"Chinese, Cafe, North Indian, Desserts","48A, Syed Amir Ali Avenue, Ballygunge, Kolkata",Kolkata,Good
33,0,Rs.,Santa's Fantasea,"Seafood, Chinese","9, Ballygunge Terrace, Near Anjali Jewellers, Golpark, Kolkata",Kolkata,Very Good
34,0,Rs.,Mumbai Local,"North Indian, Chinese, Street Food","19, Ballygunge Park Road, Near Quest Mall, Ballygunge, Kolkata",Kolkata,Very Good
35,0,Rs.,Sigree Global Grill,North Indian,"1st Floor, Silver Spring Arcade, EM Bypass, Science City Area, Kolkata",Kolkata,Very Good
36,1,Rs.,BarBQ,"Chinese, North Indian","43-47-55, Park Street Area, Kolkata",Kolkata,Very Good
37,1,Rs.,Mocambo,"Continental, Italian, North Indian","25B Park Street, Park Street Area, Kolkata",Kolkata,Good
38,0,Rs.,Gabbar's Bar & Kitchen,"North Indian, Chinese, Mexican, Italian","11/1, Ho Chi Minh Sarani, Camac Street Area, Kolkata",Kolkata,Very Good
39,0,Rs.,Ocean Grill,"Continental, Seafood, North Indian, Asian","1st Floor, Infinity Benchmark, Near RDB Cinemas, Block GP, Sector 5, Salt Lake",Kolkata,Good
40,0,Rs.,Flame & Grill,"North Indian, Continental","4th Floor, Mani Square Mall, 164/1, E.M. Bypass, Kankurgachi, Kolkata",Kolkata,Good
41,0,Rs.,Farzi Cafe,Modern Indian,"Kamala Mills, Near Radio Mirchi Office, Lower Parel, Mumbai",Mumbai,Very Good
42,1,Rs.,The Fusion Kitchen,"North Indian, Italian, Chinese, Mexican","Shop 1, Opposite Veda Building, Near Bhavdevi Garage, Holy Cross Road, IC colony, Borivali West, Mumbai",Mumbai,Excellent
